age,zip_code,salary
40,718XX,42998
30,716XX,125734
60,950XX,55586
30,813XX,55540
50,539XX,94450
40,659XX,100828
50,613XX,85896
40,551XX,126282
20,703XX,82409
40,767XX,149794
20,313XX,116400
50,469XX,52835
20,212XX,106329
30,057XX,71058
50,540XX,60770
40,304XX,126246
40,531XX,129675
60,153XX,57816
20,498XX,59749
30,387XX,134322
40,397XX,144279
50,765XX,62561
40,701XX,107823
60,720XX,96158
30,787XX,48884
20,024XX,90388
40,242XX,84130
40,800XX,123485
40,056XX,129071
60,470XX,146539
